#
#    Name:     cp1256_WinArabic to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp1256_WinArabic code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp1256_WinArabic order
#
0x00	0x0000	#NULL
0xB2	0x00B2	#SUPERSCRIPT DIGIT TWO
0xB3	0x00B3	#SUPERSCRIPT DIGIT THREE
0xB4	0x00B4	#SPACING ACUTE
0xB5	0x00B5	#MICRO SIGN
0xB6	0x00B6	#PARAGRAPH SIGN
0xB7	0x00B7	#MIDDLE DOT
0xB8	0x00B8	#SPACING CEDILLA
0xB9	0x00B9	#SUPERSCRIPT DIGIT ONE
0xBA	0x061B	#ARABIC SEMICOLON
0xBB	0x00BB	#RIGHT POINTING GUILLEMET
0xBC	0x00BC	#FRACTION ONE QUARTER
0xBD	0x00BD	#FRACTION ONE HALF
0xBE	0x00BE	#FRACTION THREE QUARTERS
0xBF	0x061F	#ARABIC QUESTION MARK
0xC0		#UNDEFINED
0xC1	0x0621	#ARABIC LETTER HAMZAH
0xC2	0x0622	#ARABIC LETTER MADDAH ON ALEF
0xC3	0x0623	#ARABIC LETTER HAMZAH ON ALEF
0xC4	0x0624	#ARABIC LETTER HAMZAH ON WAW
0xC5	0x0625	#ARABIC LETTER HAMZAH UNDER ALEF
0xC6	0x0626	#ARABIC LETTER HAMZAH ON YA
0xC7	0x0627	#ARABIC LETTER ALEF
0xC8	0x0628	#ARABIC LETTER BAA
0xC9	0x0629	#ARABIC LETTER TAA MARBUTAH
0xCA	0x062A	#ARABIC LETTER TAA
0xCB	0x062B	#ARABIC LETTER THAA
0xCC	0x062C	#ARABIC LETTER JEEM
0xCD	0x062D	#ARABIC LETTER HAA
0xCE	0x062E	#ARABIC LETTER KHAA
0xCF	0x062F	#ARABIC LETTER DAL
0xD0	0x0630	#ARABIC LETTER THAL
0xD1	0x0631	#ARABIC LETTER RA
0xD2	0x0632	#ARABIC LETTER ZAIN
0xD3	0x0633	#ARABIC LETTER SEEN
0xD4	0x0634	#ARABIC LETTER SHEEN
0xD5	0x0635	#ARABIC LETTER SAD
0xD6	0x0636	#ARABIC LETTER DAD
0xD7	0x00D7	#MULTIPLICATION SIGN
0xD8	0x0637	#ARABIC LETTER TAH
0xD9	0x0638	#ARABIC LETTER DHAH
0xDA	0x0639	#ARABIC LETTER AIN
0xDB	0x063A	#ARABIC LETTER GHAIN
0xDC	0x0640	#ARABIC TATWEEL
0xDD	0x0641	#ARABIC LETTER FA
0xDE	0x0642	#ARABIC LETTER QAF
0xDF	0x0643	#ARABIC LETTER CAF
0xE0	0x00E0	#LATIN SMALL LETTER A GRAVE
0xE1	0x0644	#ARABIC LETTER LAM
0xE2	0x00E2	#LATIN SMALL LETTER A CIRCUMFLEX
0xE3	0x0645	#ARABIC LETTER MEEM
0xE4	0x0646	#ARABIC LETTER NOON
0xE5	0x0647	#ARABIC LETTER HA
0xE6	0x0648	#ARABIC LETTER WAW
0xE7	0x00E7	#LATIN SMALL LETTER C CEDILLA
0xE8	0x00E8	#LATIN SMALL LETTER E GRAVE
0xE9	0x00E9	#LATIN SMALL LETTER E ACUTE
0xEA	0x00EA	#LATIN SMALL LETTER E CIRCUMFLEX
0xEB	0x00EB	#LATIN SMALL LETTER E DIAERESIS
0xEC	0x0649	#ARABIC LETTER ALEF MAQSURAH
0xED	0x064A	#ARABIC LETTER YA
0xEE	0x00EE	#LATIN SMALL LETTER I CIRCUMFLEX
0xEF	0x00EF	#LATIN SMALL LETTER I DIAERESIS
0xF0	0x064B	#ARABIC FATHATAN
0xF1	0x064C	#ARABIC DAMMATAN
0xF2	0x064D	#ARABIC KASRATAN
0xF3	0x064E	#ARABIC FATHAH
0xF4	0x00F4	#LATIN SMALL LETTER O CIRCUMFLEX
0xF5	0x064F	#ARABIC DAMMAH
0xF6	0x0650	#ARABIC KASRAH
0xF7	0x00F7	#DIVISION SIGN
0xF8	0x0651	#ARABIC SHADDAH
0xF9	0x00F9	#LATIN SMALL LETTER U GRAVE
0xFA	0x0652	#ARABIC SUKUN
0xFB	0x00FB	#LATIN SMALL LETTER U CIRCUMFLEX
0xFC	0x00FC	#LATIN SMALL LETTER U DIAERESIS
0xFD	0x200E	#LEFT-TO-RIGHT MARK
0xFE	0x200F	#RIGHT-TO-LEFT MARK
0xFF		#UNDEFINED


