#
#    Name:  cp936_GBK (Extended GB) to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the GBK code (in hex as 0xXXXX)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in GBK order
#
0x00	0x0000	#NULL
0xC0		#DBCS LEAD BYTE
0xC1		#DBCS LEAD BYTE
0xC2		#DBCS LEAD BYTE
0xC3		#DBCS LEAD BYTE
0xC4		#DBCS LEAD BYTE
0xC5		#DBCS LEAD BYTE
0xC6		#DBCS LEAD BYTE
0xC7		#DBCS LEAD BYTE
0xC8		#DBCS LEAD BYTE
0xC9		#DBCS LEAD BYTE
0xCA		#DBCS LEAD BYTE
0xCB		#DBCS LEAD BYTE
0xCC		#DBCS LEAD BYTE
0xCD		#DBCS LEAD BYTE
0xCE		#DBCS LEAD BYTE
0xCF		#DBCS LEAD BYTE
0xD0		#DBCS LEAD BYTE
0xD1		#DBCS LEAD BYTE
0xD2		#DBCS LEAD BYTE
0xD3		#DBCS LEAD BYTE
0xD4		#DBCS LEAD BYTE
0xD5		#DBCS LEAD BYTE
0xD6		#DBCS LEAD BYTE
0xD7		#DBCS LEAD BYTE
0xD8		#DBCS LEAD BYTE
0xD9		#DBCS LEAD BYTE
0xDA		#DBCS LEAD BYTE
0xDB		#DBCS LEAD BYTE
0xDC		#DBCS LEAD BYTE
0xDD		#DBCS LEAD BYTE
0xDE		#DBCS LEAD BYTE
0xDF		#DBCS LEAD BYTE
0xE0		#DBCS LEAD BYTE
0xE1		#DBCS LEAD BYTE
0xE2		#DBCS LEAD BYTE
0xE3		#DBCS LEAD BYTE
0xE4		#DBCS LEAD BYTE
0xE5		#DBCS LEAD BYTE
0xE6		#DBCS LEAD BYTE
0xE7		#DBCS LEAD BYTE
0xE8		#DBCS LEAD BYTE
0xE9		#DBCS LEAD BYTE
0xEA		#DBCS LEAD BYTE
0xEB		#DBCS LEAD BYTE
0xEC		#DBCS LEAD BYTE
0xED		#DBCS LEAD BYTE
0xEE		#DBCS LEAD BYTE
0xEF		#DBCS LEAD BYTE
0xF0		#DBCS LEAD BYTE
0xF1		#DBCS LEAD BYTE
0xF2		#DBCS LEAD BYTE
0xF3		#DBCS LEAD BYTE
0xF4		#DBCS LEAD BYTE
0xF5		#DBCS LEAD BYTE
0xF6		#DBCS LEAD BYTE
0xF7		#DBCS LEAD BYTE
0xF8		#DBCS LEAD BYTE
0xF9		#DBCS LEAD BYTE
0xFA		#DBCS LEAD BYTE
0xFB		#DBCS LEAD BYTE
0xFC		#DBCS LEAD BYTE
0xFD		#DBCS LEAD BYTE
0xFE		#DBCS LEAD BYTE
0xFF		#UNDEFINED
0x8140	0x4E02	#<CJK>
0x8141	0x4E04	#<CJK>
0x8142	0x4E05	#<CJK>
0x8143	0x4E06	#<CJK>
0x8144	0x4E0F	#<CJK>
0x8145	0x4E12	#<CJK>
0x8146	0x4E17	#<CJK>
0x8147	0x4E1F	#<CJK>
0x8148	0x4E20	#<CJK>
0x8149	0x4E21	#<CJK>
0x814A	0x4E23	#<CJK>
0x814B	0x4E26	#<CJK>
0x814C	0x4E29	#<CJK>
0x814D	0x4E2E	#<CJK>
0x814E	0x4E2F	#<CJK>
0x814F	0x4E31	#<CJK>
0x8150	0x4E33	#<CJK>
0x8151	0x4E35	#<CJK>
0x8152	0x4E37	#<CJK>
0x8153	0x4E3C	#<CJK>
0x8154	0x4E40	#<CJK>
0x8155	0x4E41	#<CJK>
0x8156	0x4E42	#<CJK>
0x8157	0x4E44	#<CJK>
0x8158	0x4E46	#<CJK>
0x8159	0x4E4A	#<CJK>
0x815A	0x4E51	#<CJK>
0x815B	0x4E55	#<CJK>
0x815C	0x4E57	#<CJK>
0x815D	0x4E5A	#<CJK>
0x815E	0x4E5B	#<CJK>
0x815F	0x4E62	#<CJK>
0x8160	0x4E63	#<CJK>
0x8161	0x4E64	#<CJK>
0x8162	0x4E65	#<CJK>
0x8163	0x4E67	#<CJK>
0x8164	0x4E68	#<CJK>
0x8165	0x4E6A	#<CJK>
0x8166	0x4E6B	#<CJK>
0x8167	0x4E6C	#<CJK>
0x8168	0x4E6D	#<CJK>
0x8169	0x4E6E	#<CJK>
0x816A	0x4E6F	#<CJK>
0x816B	0x4E72	#<CJK>
0x816C	0x4E74	#<CJK>
0x816D	0x4E75	#<CJK>
0x816E	0x4E76	#<CJK>
0x816F	0x4E77	#<CJK>
0x8170	0x4E78	#<CJK>
0x8171	0x4E79	#<CJK>
0x8172	0x4E7A	#<CJK>
0x8173	0x4E7B	#<CJK>
0x8174	0x4E7C	#<CJK>
0x8175	0x4E7D	#<CJK>
0x8176	0x4E7F	#<CJK>
0x8177	0x4E80	#<CJK>
0x8178	0x4E81	#<CJK>
0x8179	0x4E82	#<CJK>
0x817A	0x4E83	#<CJK>
0x817B	0x4E84	#<CJK>
0x817C	0x4E85	#<CJK>
0x817D	0x4E87	#<CJK>
0x817E	0x4E8A	#<CJK>
0x8180	0x4E90	#<CJK>
0x8181	0x4E96	#<CJK>
0x8182	0x4E97	#<CJK>
0x8183	0x4E99	#<CJK>
0x8184	0x4E9C	#<CJK>
0x8185	0x4E9D	#<CJK>
0x8186	0x4E9E	#<CJK>
0x8187	0x4EA3	#<CJK>
0x8188	0x4EAA	#<CJK>
0x8189	0x4EAF	#<CJK>
0x818A	0x4EB0	#<CJK>
0x818B	0x4EB1	#<CJK>
0x818C	0x4EB4	#<CJK>
0x818D	0x4EB6	#<CJK>
0x818E	0x4EB7	#<CJK>
0x818F	0x4EB8	#<CJK>
0x8190	0x4EB9	#<CJK>
0x8191	0x4EBC	#<CJK>
0x8192	0x4EBD	#<CJK>
0x8193	0x4EBE	#<CJK>
0x8194	0x4EC8	#<CJK>
0x8195	0x4ECC	#<CJK>
0x8196	0x4ECF	#<CJK>
0x8197	0x4ED0	#<CJK>
0x8198	0x4ED2	#<CJK>
0x8199	0x4EDA	#<CJK>
0x819A	0x4EDB	#<CJK>
0x819B	0x4EDC	#<CJK>
0x819C	0x4EE0	#<CJK>
0x819D	0x4EE2	#<CJK>
0x819E	0x4EE6	#<CJK>
0x819F	0x4EE7	#<CJK>
0x81A0	0x4EE9	#<CJK>
0x81A1	0x4EED	#<CJK>
0x81A2	0x4EEE	#<CJK>
0x81A3	0x4EEF	#<CJK>
0x81A4	0x4EF1	#<CJK>
0x81A5	0x4EF4	#<CJK>
0x81A6	0x4EF8	#<CJK>
0x81A7	0x4EF9	#<CJK>
0x81A8	0x4EFA	#<CJK>
0x81A9	0x4EFC	#<CJK>
0x81AA	0x4EFE	#<CJK>
0x81AB	0x4F00	#<CJK>
0x81AC	0x4F02	#<CJK>
0x81AD	0x4F03	#<CJK>
0x81AE	0x4F04	#<CJK>
0x81AF	0x4F05	#<CJK>
0x81B0	0x4F06	#<CJK>
0x81B1	0x4F07	#<CJK>
0x81B2	0x4F08	#<CJK>
0x81B3	0x4F0B	#<CJK>
0x81B4	0x4F0C	#<CJK>
0x81B5	0x4F12	#<CJK>
0x81B6	0x4F13	#<CJK>
0x81B7	0x4F14	#<CJK>
0x81B8	0x4F15	#<CJK>
0x81B9	0x4F16	#<CJK>
0x81BA	0x4F1C	#<CJK>
0x81BB	0x4F1D	#<CJK>
0x81BC	0x4F21	#<CJK>
0x81BD	0x4F23	#<CJK>
0x81BE	0x4F28	#<CJK>
0x81BF	0x4F29	#<CJK>
0x81C0	0x4F2C	#<CJK>
0x81C1	0x4F2D	#<CJK>
0x81C2	0x4F2E	#<CJK>
0x81C3	0x4F31	#<CJK>
0x81C4	0x4F33	#<CJK>
0x81C5	0x4F35	#<CJK>
0x81C6	0x4F37	#<CJK>
0x81C7	0x4F39	#<CJK>
0x81C8	0x4F3B	#<CJK>
0x81C9	0x4F3E	#<CJK>
0x81CA	0x4F3F	#<CJK>
0x81CB	0x4F40	#<CJK>
0x81CC	0x4F41	#<CJK>
0x81CD	0x4F42	#<CJK>
0x81CE	0x4F44	#<CJK>
0x81CF	0x4F45	#<CJK>
0x81D0	0x4F47	#<CJK>
0x81D1	0x4F48	#<CJK>
0x81D2	0x4F49	#<CJK>
0x81D3	0x4F4A	#<CJK>
0x81D4	0x4F4B	#<CJK>
0x81D5	0x4F4C	#<CJK>
0x81D6	0x4F52	#<CJK>
0x81D7	0x4F54	#<CJK>
0x81D8	0x4F56	#<CJK>
0x81D9	0x4F61	#<CJK>
0x81DA	0x4F62	#<CJK>
0x81DB	0x4F66	#<CJK>
0x81DC	0x4F68	#<CJK>
0x81DD	0x4F6A	#<CJK>
0x81DE	0x4F6B	#<CJK>
0x81DF	0x4F6D	#<CJK>
0x81E0	0x4F6E	#<CJK>
0x81E1	0x4F71	#<CJK>
0x81E2	0x4F72	#<CJK>
0x81E3	0x4F75	#<CJK>
0x81E4	0x4F77	#<CJK>
0x81E5	0x4F78	#<CJK>
0x81E6	0x4F79	#<CJK>
0x81E7	0x4F7A	#<CJK>
0x81E8	0x4F7D	#<CJK>
0x81E9	0x4F80	#<CJK>
0x81EA	0x4F81	#<CJK>
0x81EB	0x4F82	#<CJK>
0x81EC	0x4F85	#<CJK>
0x81ED	0x4F86	#<CJK>
0x81EE	0x4F87	#<CJK>
0x81EF	0x4F8A	#<CJK>
0x81F0	0x4F8C	#<CJK>
0x81F1	0x4F8E	#<CJK>
0x81F2	0x4F90	#<CJK>
0x81F3	0x4F92	#<CJK>
0x81F4	0x4F93	#<CJK>
0x81F5	0x4F95	#<CJK>
0x81F6	0x4F96	#<CJK>
0x81F7	0x4F98	#<CJK>
0x81F8	0x4F99	#<CJK>
0x81F9	0x4F9A	#<CJK>
0x81FA	0x4F9C	#<CJK>
0x81FB	0x4F9E	#<CJK>
0x81FC	0x4F9F	#<CJK>
0x81FD	0x4FA1	#<CJK>
0x81FE	0x4FA2	#<CJK>
0x8240	0x4FA4	#<CJK>
0x8241	0x4FAB	#<CJK>
0x8242	0x4FAD	#<CJK>
0x8243	0x4FB0	#<CJK>
0x8244	0x4FB1	#<CJK>
0x8245	0x4FB2	#<CJK>
0x8246	0x4FB3	#<CJK>
0x8247	0x4FB4	#<CJK>
0x8248	0x4FB6	#<CJK>
0x8249	0x4FB7	#<CJK>
0x824A	0x4FB8	#<CJK>
0x824B	0x4FB9	#<CJK>
0x824C	0x4FBA	#<CJK>
0x824D	0x4FBB	#<CJK>
0x824E	0x4FBC	#<CJK>
0x824F	0x4FBD	#<CJK>
0x8250	0x4FBE	#<CJK>
0x8251	0x4FC0	#<CJK>
0x8252	0x4FC1	#<CJK>
0x8253	0x4FC2	#<CJK>
0x8254	0x4FC6	#<CJK>
0x8255	0x4FC7	#<CJK>
0x8256	0x4FC8	#<CJK>
0x8257	0x4FC9	#<CJK>
0x8258	0x4FCB	#<CJK>
0x8259	0x4FCC	#<CJK>
0x825A	0x4FCD	#<CJK>
0x825B	0x4FD2	#<CJK>
0x825C	0x4FD3	#<CJK>
0x825D	0x4FD4	#<CJK>
0x825E	0x4FD5	#<CJK>
0x825F	0x4FD6	#<CJK>
0x8260	0x4FD9	#<CJK>
0x8261	0x4FDB	#<CJK>
0x8262	0x4FE0	#<CJK>
0x8263	0x4FE2	#<CJK>
0x8264	0x4FE4	#<CJK>
0x8265	0x4FE5	#<CJK>
0x8266	0x4FE7	#<CJK>
0x8267	0x4FEB	#<CJK>
0x8268	0x4FEC	#<CJK>
0x8269	0x4FF0	#<CJK>
0x826A	0x4FF2	#<CJK>
0x826B	0x4FF4	#<CJK>
0x826C	0x4FF5	#<CJK>
0x826D	0x4FF6	#<CJK>
0x826E	0x4FF7	#<CJK>
0x826F	0x4FF9	#<CJK>
0x8270	0x4FFB	#<CJK>
0x8271	0x4FFC	#<CJK>
0x8272	0x4FFD	#<CJK>
0x8273	0x4FFF	#<CJK>
0x8274	0x5000	#<CJK>
0x8275	0x5001	#<CJK>
0x8276	0x5002	#<CJK>
0x8277	0x5003	#<CJK>
0x8278	0x5004	#<CJK>
0x8279	0x5005	#<CJK>
0x827A	0x5006	#<CJK>
0x827B	0x5007	#<CJK>
0x827C	0x5008	#<CJK>
0x827D	0x5009	#<CJK>
0x827E	0x500A	#<CJK>
0x8280	0x500B	#<CJK>
0x8281	0x500E	#<CJK>
0x8282	0x5010	#<CJK>
0x8283	0x5011	#<CJK>
0x8284	0x5013	#<CJK>
0x8285	0x5015	#<CJK>
0x8286	0x5016	#<CJK>
0x8287	0x5017	#<CJK>
0x8288	0x501B	#<CJK>
0x8289	0x501D	#<CJK>
0x828A	0x501E	#<CJK>
0x828B	0x5020	#<CJK>
0x828C	0x5022	#<CJK>
0x828D	0x5023	#<CJK>
0x828E	0x5024	#<CJK>
0x828F	0x5027	#<CJK>
0x8290	0x502B	#<CJK>
0x8291	0x502F	#<CJK>
0x8292	0x5030	#<CJK>
0x8293	0x5031	#<CJK>
0x8294	0x5032	#<CJK>
0x8295	0x5033	#<CJK>
0x8296	0x5034	#<CJK>
0x8297	0x5035	#<CJK>
0x8298	0x5036	#<CJK>
0x8299	0x5037	#<CJK>
0x829A	0x5038	#<CJK>
0x829B	0x5039	#<CJK>
0x829C	0x503B	#<CJK>
0x829D	0x503D	#<CJK>
0x829E	0x503F	#<CJK>
0x829F	0x5040	#<CJK>
0x82A0	0x5041	#<CJK>
0x82A1	0x5042	#<CJK>
0x82A2	0x5044	#<CJK>
0x82A3	0x5045	#<CJK>
0x82A4	0x5046	#<CJK>
0x82A5	0x5049	#<CJK>
0x82A6	0x504A	#<CJK>
0x82A7	0x504B	#<CJK>
0x82A8	0x504D	#<CJK>
0x82A9	0x5050	#<CJK>
0x82AA	0x5051	#<CJK>
0x82AB	0x5052	#<CJK>
0x82AC	0x5053	#<CJK>
0x82AD	0x5054	#<CJK>
0x82AE	0x5056	#<CJK>
0x82AF	0x5057	#<CJK>
0x82B0	0x5058	#<CJK>
0x82B1	0x5059	#<CJK>
0x82B2	0x505B	#<CJK>
0x82B3	0x505D	#<CJK>
0x82B4	0x505E	#<CJK>
0x82B5	0x505F	#<CJK>
0x82B6	0x5060	#<CJK>
0x82B7	0x5061	#<CJK>
0x82B8	0x5062	#<CJK>
0x82B9	0x5063	#<CJK>
0x82BA	0x5064	#<CJK>
0x82BB	0x5066	#<CJK>
0x82BC	0x5067	#<CJK>
0x82BD	0x5068	#<CJK>
0x82BE	0x5069	#<CJK>
0x82BF	0x506A	#<CJK>
0x82C0	0x506B	#<CJK>
0x82C1	0x506D	#<CJK>
0x82C2	0x506E	#<CJK>
0x82C3	0x506F	#<CJK>
0x82C4	0x5070	#<CJK>
0x82C5	0x5071	#<CJK>
0x82C6	0x5072	#<CJK>
0x82C7	0x5073	#<CJK>
0x82C8	0x5074	#<CJK>
0x82C9	0x5075	#<CJK>
0x82CA	0x5078	#<CJK>
0x82CB	0x5079	#<CJK>
0x82CC	0x507A	#<CJK>
0x82CD	0x507C	#<CJK>
0x82CE	0x507D	#<CJK>
0x82CF	0x5081	#<CJK>
0x82D0	0x5082	#<CJK>
0x82D1	0x5083	#<CJK>
0x82D2	0x5084	#<CJK>
0x82D3	0x5086	#<CJK>
0x82D4	0x5087	#<CJK>
0x82D5	0x5089	#<CJK>
0x82D6	0x508A	#<CJK>
0x82D7	0x508B	#<CJK>
0x82D8	0x508C	#<CJK>
0x82D9	0x508E	#<CJK>
0x82DA	0x508F	#<CJK>
0x82DB	0x5090	#<CJK>
0x82DC	0x5091	#<CJK>
0x82DD	0x5092	#<CJK>
0x82DE	0x5093	#<CJK>
0x82DF	0x5094	#<CJK>
0x82E0	0x5095	#<CJK>
0x82E1	0x5096	#<CJK>
0x82E2	0x5097	#<CJK>
0x82E3	0x5098	#<CJK>
0x82E4	0x5099	#<CJK>
0x82E5	0x509A	#<CJK>
0x82E6	0x509B	#<CJK>
0x82E7	0x509C	#<CJK>
0x82E8	0x509D	#<CJK>
0x82E9	0x509E	#<CJK>
0x82EA	0x509F	#<CJK>
0x82EB	0x50A0	#<CJK>
0x82EC	0x50A1	#<CJK>
0x82ED	0x50A2	#<CJK>
0x82EE	0x50A4	#<CJK>
0x82EF	0x50A6	#<CJK>
0x82F0	0x50AA	#<CJK>
0x82F1	0x50AB	#<CJK>
0x82F2	0x50AD	#<CJK>
0x82F3	0x50AE	#<CJK>
0x82F4	0x50AF	#<CJK>
0x82F5	0x50B0	#<CJK>
0x82F6	0x50B1	#<CJK>
0x82F7	0x50B3	#<CJK>
0x82F8	0x50B4	#<CJK>
0x82F9	0x50B5	#<CJK>
0x82FA	0x50B6	#<CJK>
0x82FB	0x50B7	#<CJK>
0x82FC	0x50B8	#<CJK>
0x82FD	0x50B9	#<CJK>
0x82FE	0x50BC	#<CJK>
0x8340	0x50BD	#<CJK>
0x8341	0x50BE	#<CJK>
0x8342	0x50BF	#<CJK>
0x8343	0x50C0	#<CJK>
0x8344	0x50C1	#<CJK>
0x8345	0x50C2	#<CJK>
0x8346	0x50C3	#<CJK>
0x8347	0x50C4	#<CJK>
0x8348	0x50C5	#<CJK>
0x8349	0x50C6	#<CJK>
0x834A	0x50C7	#<CJK>
0x834B	0x50C8	#<CJK>
0x834C	0x50C9	#<CJK>
0x834D	0x50CA	#<CJK>
0x834E	0x50CB	#<CJK>
0x834F	0x50CC	#<CJK>
0x8350	0x50CD	#<CJK>
0x8351	0x50CE	#<CJK>
0x8352	0x50D0	#<CJK>
0x8353	0x50D1	#<CJK>
0x8354	0x50D2	#<CJK>
0x8355	0x50D3	#<CJK>
0x8356	0x50D4	#<CJK>
0x8357	0x50D5	#<CJK>
0x8358	0x50D7	#<CJK>
0x8359	0x50D8	#<CJK>
0x835A	0x50D9	#<CJK>
0x835B	0x50DB	#<CJK>
0x835C	0x50DC	#<CJK>
0x835D	0x50DD	#<CJK>
0x835E	0x50DE	#<CJK>
0x835F	0x50DF	#<CJK>
0x8360	0x50E0	#<CJK>
0x8361	0x50E1	#<CJK>
0x8362	0x50E2	#<CJK>
0x8363	0x50E3	#<CJK>
0x8364	0x50E4	#<CJK>
0x8365	0x50E5	#<CJK>
0x8366	0x50E8	#<CJK>
0x8367	0x50E9	#<CJK>
0x8368	0x50EA	#<CJK>
0x8369	0x50EB	#<CJK>
0x836A	0x50EF	#<CJK>
0x836B	0x50F0	#<CJK>
0x836C	0x50F1	#<CJK>
0x836D	0x50F2	#<CJK>
0x836E	0x50F4	#<CJK>
0x836F	0x50F6	#<CJK>
0x8370	0x50F7	#<CJK>
0x8371	0x50F8	#<CJK>
0x8372	0x50F9	#<CJK>
0x8373	0x50FA	#<CJK>
0x8374	0x50FC	#<CJK>
0x8375	0x50FD	#<CJK>
0x8376	0x50FE	#<CJK>
0x8377	0x50FF	#<CJK>
0x8378	0x5100	#<CJK>
0x8379	0x5101	#<CJK>
0x837A	0x5102	#<CJK>
0x837B	0x5103	#<CJK>
0x837C	0x5104	#<CJK>
0x837D	0x5105	#<CJK>
