#
#    Name:     cp874_DOSThai to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp874_DOSThai code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp874_DOSThai order
#
0x00	0x0000	#NULL
0xba	0x0e1a	#THAI LETTER BO BAIMAI
0xbb	0x0e1b	#THAI LETTER PO PLA
0xbc	0x0e1c	#THAI LETTER PHO PHUNG
0xbd	0x0e1d	#THAI LETTER FO FA
0xbe	0x0e1e	#THAI LETTER PHO PHAN
0xbf	0x0e1f	#THAI LETTER FO FAN
0xc0	0x0e20	#THAI LETTER PHO SAMPHAO
0xc1	0x0e21	#THAI LETTER MO MA
0xc2	0x0e22	#THAI LETTER YO YAK
0xc3	0x0e23	#THAI LETTER RO RUA
0xc4	0x0e24	#THAI LETTER RU
0xc5	0x0e25	#THAI LETTER LO LING
0xc6	0x0e26	#THAI LETTER LU
0xc7	0x0e27	#THAI LETTER WO WAEN
0xc8	0x0e28	#THAI LETTER SO SALA
0xc9	0x0e29	#THAI LETTER SO RUSI
0xca	0x0e2a	#THAI LETTER SO SUA
0xcb	0x0e2b	#THAI LETTER HO HIP
0xcc	0x0e2c	#THAI LETTER LO CHULA
0xcd	0x0e2d	#THAI LETTER O ANG
0xce	0x0e2e	#THAI LETTER HO NOK HUK
0xcf	0x0e2f	#THAI PAI YAN NOI
0xd0	0x0e30	#THAI VOWEL SIGN SARA A
0xd1	0x0e31	#THAI VOWEL SIGN MAI HAN-AKAT
0xd2	0x0e32	#THAI VOWEL SIGN SARA AA
0xd3	0x0e33	#THAI VOWEL SIGN SARA AM
0xd4	0x0e34	#THAI VOWEL SIGN SARA I
0xd5	0x0e35	#THAI VOWEL SIGN SARA II
0xd6	0x0e36	#THAI VOWEL SIGN SARA UE
0xd7	0x0e37	#THAI VOWEL SIGN SARA UEE
0xd8	0x0e38	#THAI VOWEL SIGN SARA U
0xd9	0x0e39	#THAI VOWEL SIGN SARA UU
0xda	0x0e3a	#THAI VOWEL SIGN PHINTHU
0xdb		#UNDEFINED
0xdc		#UNDEFINED
0xdd		#UNDEFINED
0xde		#UNDEFINED
0xdf	0x0e3f	#THAI BAHT SIGN
0xe0	0x0e40	#THAI VOWEL SIGN SARA E
0xe1	0x0e41	#THAI VOWEL SIGN SARA AE
0xe2	0x0e42	#THAI VOWEL SIGN SARA O
0xe3	0x0e43	#THAI VOWEL SIGN SARA MAI MUAN
0xe4	0x0e44	#THAI VOWEL SIGN SARA MAI MALAI
0xe5	0x0e45	#THAI LAK KHANG YAO
0xe6	0x0e46	#THAI MAI YAMOK
0xe7	0x0e47	#THAI VOWEL SIGN MAI TAI KHU
0xe8	0x0e48	#THAI TONE MAI EK
0xe9	0x0e49	#THAI TONE MAI THO
0xea	0x0e4a	#THAI TONE MAI TRI
0xeb	0x0e4b	#THAI TONE MAI CHATTAWA
0xec	0x0e4c	#THAI THANTHAKHAT
0xed	0x0e4d	#THAI NIKKHAHIT
0xee	0x0e4e	#THAI YAMAKKAN
0xef	0x0e4f	#THAI FONGMAN
0xf0	0x0e50	#THAI DIGIT 0
0xf1	0x0e51	#THAI DIGIT 1
0xf2	0x0e52	#THAI DIGIT 2
0xf3	0x0e53	#THAI DIGIT 3
0xf4	0x0e54	#THAI DIGIT 4
0xf5	0x0e55	#THAI DIGIT 5
0xf6	0x0e56	#THAI DIGIT 6
0xf7	0x0e57	#THAI DIGIT 7
0xf8	0x0e58	#THAI DIGIT 8
0xf9	0x0e59	#THAI DIGIT 9
0xfa	0x0e5a	#THAI ANGKHANKHU
0xfb	0x0e5b	#THAI KHOMUT
0xfc		#UNDEFINED
0xfd		#UNDEFINED
0xfe		#UNDEFINED
0xff		#UNDEFINED


